77573,463240
49030,255635
20487,103836
75534,448444
46991,249429
18448,94631
73495,425090
44953,240984
16410,84683
71457,402059
100000,697708
42914,231467
14371,73175
97961,739557
69418,425151
40875,219507
12332,63420
67379,374907
95922,671888
38836,205117
10293,52366
93883,640358
65340,382441
36797,191869
8255,40967
91844,581931
63302,366663
34759,180364
6216,30396
89806,596815
61263,351965
32720,170503
4177,20441
87767,606738
59224,326481
30681,149023
2138,10085
85728,527631
57185,314709
28642,136397
100,384
83689,559072
55146,310820
26604,141421
81651,449374
53108,302726
24565,128791
51069,279877
79612,501072
22526,117942
