77573,274263
49030,165109
20487,70792
75534,269943
46991,162148
18448,63457
73495,254504
44953,160662
16410,56264
71457,241407
100000,355586
42914,153718
14371,48639
97961,374982
69418,261059
40875,145013
12332,42283
67379,233047
95922,350652
38836,138575
10293,34813
93883,340030
65340,237130
36797,128084
8255,27253
91844,311561
63302,227320
34759,121122
6216,20400
89806,323361
61263,219232
32720,114467
4177,13896
87767,334059
59224,204359
30681,99715
2138,7233
85728,296511
57185,197094
28642,88792
100,290
83689,315905
55146,196312
26604,93526
81651,258143
53108,196115
24565,87875
51069,183475
79612,293666
22526,78258
