77573,21325922
49030,12801236
20487,4759872
46991,12122260
75534,21311838
18448,4241598
73495,20558184
44953,11653436
16410,3721344
71457,19822484
100000,28321820
42914,10760836
14371,3244096
97961,27857418
69418,19318744
40875,10339848
12332,2677688
67379,18428978
95922,26705682
38836,9549184
10293,2166002
93883,26981252
65340,17974270
36797,9025458
8255,1714240
91844,25570690
63302,17257458
34759,8395404
6216,1237130
89806,25369238
61263,16768696
32720,7891678
4177,807268
87767,24598462
59224,16186810
30681,7421250
2138,378164
57185,15210744
85728,24128796
28642,6874288
100,9738
83689,23977828
55146,14706462
26604,6259030
81651,22599886
53108,14160524
24565,5807332
51069,13588596
79612,22572784
22526,5178824
