77573,358068
49030,158744
20487,63186
75534,344761
46991,214369
18448,60796
73495,330811
44953,166506
16410,65610
71457,310782
100000,538356
42914,168913
14371,54455
97961,535184
69418,291099
40875,165134
12332,47533
67379,290065
95922,443433
38836,139215
10293,39747
93883,511455
65340,281124
36797,131658
8255,29941
91844,439121
63302,234344
34759,136976
6216,24836
89806,424420
61263,290166
32720,127861
4177,15959
87767,368875
59224,265579
30681,133738
2138,7343
85728,402406
57185,251101
28642,127773
100,273
83689,385702
55146,221507
26604,95805
81651,309711
53108,214024
24565,92192
51069,203540
79612,331898
22526,86241
