77573,236034
49030,159180
20487,70929
75534,302487
46991,195475
18448,54585
73495,243786
44953,163554
16410,47654
71457,281649
100000,400769
42914,145721
14371,49819
97961,351159
69418,249350
40875,152963
12332,34390
67379,215136
95922,318400
38836,93855
10293,34025
93883,279137
65340,191925
36797,92941
8255,25790
91844,365055
63302,198919
34759,114773
6216,17395
89806,375876
61263,235331
32720,112636
4177,10742
87767,349714
59224,177114
30681,108304
2138,6139
85728,297441
57185,168586
28642,112717
100,250
83689,298724
55146,167570
26604,87653
81651,303245
53108,213175
24565,79777
51069,170222
79612,237936
22526,61243
