77573,301386
49030,145663
20487,48642
75534,228622
46991,107586
18448,47133
73495,199695
44953,132209
16410,40209
71457,187313
100000,344191
42914,121834
14371,35724
97961,354430
69418,224216
40875,127622
12332,29353
67379,235543
95922,303773
38836,95727
10293,24845
93883,375498
65340,163563
36797,125596
8255,17938
91844,414900
63302,161788
34759,96864
6216,14166
89806,393575
61263,237657
32720,80085
4177,10815
87767,288486
59224,174698
30681,84506
2138,4687
85728,242107
57185,166302
28642,93619
100,190
83689,267553
55146,177357
26604,59484
81651,309027
53108,152451
24565,52850
51069,160371
79612,230050
22526,56946
