77573,162328
49030,113818
20487,52763
75534,200128
46991,139501
18448,40873
73495,164655
44953,119503
16410,35417
71457,192220
100000,236597
42914,106470
14371,37177
97961,218569
69418,169080
40875,112307
12332,25639
67379,152244
95922,206175
38836,69266
10293,25528
93883,178500
65340,135403
36797,67951
8255,19810
91844,228821
63302,141340
34759,85310
6216,13218
89806,232249
61263,163961
32720,82890
4177,8283
87767,219602
59224,125248
30681,80061
2138,4877
85728,200308
57185,120489
28642,82866
100,204
83689,191870
55146,120727
26604,65111
81651,200769
53108,152077
24565,58696
51069,121359
79612,161308
22526,45040
